run,mexican_concentration,cos_fatigue,texian_casualties,mexican_casualties,mexican_captured,cos_remaining,battle_duration,texian_side_morale,mexican_side_morale,texian_win
1,100,100,836.0,182.0,189.0,306.0,252.0,80.03799170196483,79.58449682074904,false
2,100,100,836.0,148.0,223.0,273.0,242.0,80.99019761173727,74.54627404269932,false
3,100,100,837.0,169.0,208.0,291.0,274.0,93.21645907369243,77.0323064690565,false
4,100,100,837.0,154.0,196.0,297.0,247.0,83.67199402934922,75.42786836087413,false
5,100,100,836.0,259.0,197.0,285.0,262.0,87.72740914033413,74.90675741702898,false
