run,mexican_concentration,cos_fatigue,texian_casualties,mexican_casualties,mexican_captured,cos_remaining,battle_duration_minutes,texian_side_morale,mexican_side_morale,texian_win
2,40,0,557.0,1029.0,173.0,38.0,28.9,94.14182708728111,16.561550107477657,True
3,40,0,604.0,1002.0,201.0,27.0,29.0,92.51774289003622,21.71911275931634,True
1,10,100,36.0,487.0,714.0,44.0,21.1,89.43865799673029,0.0,True
2,10,100,32.0,473.0,728.0,48.0,20.4,89.54781784818043,0.0,True
3,10,100,33.0,454.0,747.0,47.0,20.8,88.47341469152526,0.0,True
1,100,80,836.0,88.0,0.0,471.0,21.2,77.70996534390558,82.11308520389376,False
2,100,80,837.0,173.0,0.0,485.0,26.0,88.2598719905531,83.78483061453217,False
3,100,80,841.0,171.0,0.0,462.0,21.3,73.2643396615672,81.98067751263264,False
1,80,70,836.0,412.0,0.0,386.0,29.8,95.92792381431867,71.52342330990562,False
2,80,70,837.0,241.0,2.0,380.0,22.7,72.04992320538688,72.84299844818294,False
3,80,70,836.0,267.0,2.0,383.0,22.0,75.63424211865096,70.70918056913409,False
1,50,90,300.0,744.0,457.0,49.0,26.5,96.6172521339968,0.0,True
2,50,90,336.0,696.0,505.0,47.0,25.2,95.38493971594116,0.0,True
3,50,90,308.0,728.0,473.0,49.0,25.5,96.82749996185922,0.0,True
1,40,80,103.0,614.0,587.0,47.0,23.5,91.93812815299312,0.0,True
2,40,80,256.0,687.0,515.0,47.0,25.2,94.76276775915171,0.0,True
3,40,80,286.0,679.0,522.0,48.0,25.3,95.41831541562198,0.0,True
1,90,60,838.0,100.0,0.0,485.0,22.0,75.98217936989774,88.40350922494748,False
2,90,60,841.0,123.0,2.0,476.0,23.5,81.87575786958573,89.06708047431177,False
3,90,60,836.0,261.0,4.0,481.0,28.0,84.18501955273071,90.55550519202264,False
1,70,50,846.0,257.0,18.0,431.0,23.1,73.01850626527151,78.27888172965558,False
2,70,50,844.0,986.0,218.0,10.0,37.0,95.54056124796992,3.025079210535332,True
3,70,50,838.0,510.0,9.0,445.0,28.7,96.66413353119648,76.09768106610765,False
1,40,30,520.0,979.0,222.0,49.0,27.2,95.05368564327652,0.0,True
2,40,30,429.0,949.0,255.0,46.0,27.3,97.74116044390182,0.0,True
3,40,30,376.0,860.0,345.0,36.0,25.6,94.66629940650584,2.2328862078262595,True
1,0,50,0.0,397.0,805.0,47.0,19.9,85.77404983254493,0.0,True
2,0,50,1.0,367.0,834.0,44.0,19.6,86.86211326711492,0.0,True
3,0,50,1.0,386.0,815.0,43.0,19.8,87.21196710402292,0.0,True
1,30,70,259.0,689.0,513.0,48.0,25.1,97.88955510264309,0.0,True
2,30,70,70.0,576.0,626.0,47.0,23.8,93.02332272054365,0.0,True
3,30,70,138.0,623.0,580.0,45.0,23.1,93.89785765815432,0.0,True
1,100,30,846.0,75.0,0.0,494.0,21.6,76.87595653474057,96.95040976545036,False
2,100,30,836.0,179.0,0.0,498.0,31.2,92.04014974836277,98.412280270908,False
3,100,30,844.0,85.0,0.0,498.0,22.3,84.18141110259373,96.78708414676132,False
1,50,20,746.0,1034.0,169.0,41.0,36.7,97.07818733652498,16.644255319148968,True
