run,mexican_concentration,cos_fatigue,texian_casualties,mexican_casualties,mexican_captured,cos_remaining,battle_duration_minutes,texian_side_morale,mexican_side_morale,texian_win
2,90,80,837.0,363.0,4.0,343.0,27.9,90.9203073554164,72.07827126938842,False
3,90,80,844.0,98.0,1.0,481.0,21.5,74.57764354557742,77.03315136789168,False
1,30,20,515.0,957.0,246.0,41.0,27.3,96.42247239074794,0.0,True
2,30,20,442.0,923.0,278.0,45.0,26.1,95.8936478403929,0.0,True
3,30,20,332.0,881.0,320.0,42.0,26.1,94.27749985476642,0.0,True
1,100,60,838.0,66.0,0.0,490.0,21.2,75.63082648568044,91.36983270909958,False
2,100,60,843.0,122.0,0.0,491.0,22.2,72.30961785397272,90.99472305916991,False
3,100,60,837.0,58.0,0.0,493.0,21.3,78.53345340106785,91.46839013604338,False
1,80,90,836.0,500.0,24.0,381.0,23.6,90.08809953532744,44.49208265170317,False
2,80,90,882.0,724.0,478.0,6.0,37.5,99.32803620109053,4.743092927011177,True
3,80,90,840.0,402.0,12.0,434.0,22.5,86.15164586749376,50.48760007034439,False
1,50,70,373.0,758.0,443.0,49.0,26.8,95.69591699360774,0.0,True
2,50,70,389.0,745.0,456.0,47.0,26.6,94.86734065788546,0.0,True
3,50,70,384.0,739.0,463.0,46.0,26.2,94.65385382683613,0.0,True
1,100,0,847.0,49.0,0.0,500.0,21.4,77.89008568141372,98.51900303282024,False
2,100,0,847.0,135.0,0.0,495.0,21.6,75.79813295886362,98.08769905706632,False
3,100,0,836.0,167.0,0.0,496.0,24.0,80.13656705449019,99.246534190759,False
1,20,30,132.0,720.0,484.0,39.0,22.6,92.62297913326512,0.0,True
2,20,30,222.0,773.0,429.0,43.0,22.8,91.44661286639626,0.0,True
3,20,30,115.0,657.0,546.0,44.0,22.9,92.44988269866036,0.0,True
1,10,50,49.0,472.0,729.0,43.0,24.0,92.28147930610946,0.0,True
2,10,50,34.0,492.0,710.0,43.0,21.9,90.72673023274128,0.0,True
3,10,50,17.0,494.0,707.0,47.0,23.0,91.91084905341688,0.0,True
1,60,10,838.0,533.0,77.0,429.0,38.4,87.64560841202616,95.77147952762591,False
2,60,10,837.0,623.0,62.0,379.0,30.3,86.47785865419283,91.25224270079968,False
3,60,10,836.0,579.0,62.0,402.0,39.8,94.33669356162524,92.9011891848391,False
1,30,0,441.0,1009.0,194.0,29.0,27.8,94.50693596145705,0.0,True
2,30,0,444.0,932.0,269.0,40.0,27.6,97.12737867607872,0.0,True
3,30,0,571.0,951.0,251.0,41.0,30.0,95.3679163191784,12.204851515736095,True
1,90,40,845.0,154.0,0.0,487.0,22.0,72.0323466528952,93.09495433279102,False
2,90,40,838.0,291.0,0.0,481.0,26.6,87.6510512994318,94.75603182483644,False
3,90,40,843.0,113.0,0.0,456.0,21.8,75.13620612981225,90.83092853378108,False
1,0,100,2.0,372.0,829.0,45.0,20.3,86.65675565194721,0.0,True
2,0,100,0.0,355.0,848.0,43.0,19.9,87.14037138111789,0.0,True
3,0,100,4.0,376.0,825.0,41.0,19.8,87.56703640365959,0.0,True
1,80,50,836.0,148.0,3.0,481.0,22.0,74.18882573627641,86.3212421519234,False
2,80,50,841.0,154.0,13.0,476.0,22.6,77.2285953114624,85.8637029471388,False
3,80,50,836.0,276.0,2.0,482.0,26.2,89.09128381739059,87.08630198509164,False
1,10,90,5.0,477.0,725.0,46.0,19.4,90.37585345616137,0.0,True
2,10,90,62.0,465.0,737.0,43.0,21.0,91.29043886577968,0.0,True
3,10,90,24.0,500.0,701.0,45.0,20.8,87.82405215378391,0.0,True
