mexican_concentration,cos_fatigue,texian_casualties_mean,texian_casualties_std,texian_casualties_min,texian_casualties_max,mexican_casualties_mean,mexican_casualties_std,mexican_casualties_min,mexican_casualties_max,mexican_captured_mean,mexican_captured_std,mexican_captured_min,mexican_captured_max,cos_remaining_mean,cos_remaining_std,cos_remaining_min,cos_remaining_max,battle_duration_mean,battle_duration_std,battle_duration_min,battle_duration_max,texian_side_morale_mean,texian_side_morale_std,texian_side_morale_min,texian_side_morale_max,mexican_side_morale_mean,mexican_side_morale_std,mexican_side_morale_min,mexican_side_morale_max,texian_win_rate,runs
0,0,28.3,12.508219519801992,14.0,54.0,597.1,53.32593698713183,489.0,660.0,605.0,53.35208003859308,541.0,712.0,9.6,2.4585451886114362,6.0,13.0,196.1,5.646040894093647,188.0,204.0,89.24132007966284,0.45083577310729056,88.64339958966713,89.9600392046554,0.0,0.0,0.0,0.0,1.0,10
0,50,4.4,2.5473297566057065,1.0,8.0,396.8,21.91802910847597,363.0,440.0,804.9,22.19834828690341,761.0,839.0,37.9,2.2827858224351907,35.0,42.0,193.0,5.8118652580542305,184.0,202.0,86.56455391699077,0.8970047680324205,84.9663625249289,87.85645456630628,0.0,0.0,0.0,0.0,1.0,10
0,100,3.7,2.6687491868330793,1.0,8.0,431.2,12.01665510863984,411.0,447.0,770.5,12.030054955079061,754.0,790.0,35.4,2.3664319132398473,32.0,39.0,189.4,3.4058772731852818,184.0,196.0,86.30289255823863,0.6042193826511326,85.39307892752149,87.13059757195342,0.0,0.0,0.0,0.0,1.0,10
50,0,681.7,43.068550010419436,635.0,766.0,1076.1,26.227424154456678,1013.0,1101.0,126.9,12.582615873586148,111.0,142.0,24.6,19.551641022345585,10.0,78.0,331.8,124.0562596387444,0.0,448.0,98.40685594401585,0.8442208666516937,96.97443456968952,99.55102086949364,51.23225907768095,18.62965911384989,31.377171112292697,96.61339077258064,0.9,10
50,50,561.3,61.63882254265119,472.0,640.0,884.0,46.726152562920625,798.0,961.0,318.8,46.4394468337234,242.0,406.0,29.1,9.085397319019375,14.0,44.0,297.1,35.541681320825425,240.0,370.0,96.68359883218719,2.248815122442862,93.14781838783088,99.0083935135806,22.445752941920237,20.409782929568053,1.0960035452832246,73.86638654370931,1.0,10
50,100,360.4,33.731620509875036,312.0,410.0,704.2,50.083929558292446,632.0,774.0,498.0,49.9799959983992,429.0,572.0,37.6,14.523544103741804,9.0,48.0,255.8,17.054162085674104,240.0,298.0,95.93087536803667,1.4298387525638248,93.84715558654672,98.29472865353232,6.001473378066052,13.343694594874423,0.0,42.26337591835182,1.0,10
100,0,837.9,2.0789954839350178,836.0,843.0,159.7,33.618943072817345,100.0,229.0,0.0,0.0,0.0,0.0,432.5,13.251834254589474,408.0,449.0,222.0,6.253887679764573,213.0,232.0,77.16532471745404,1.4756092706024835,75.65359699559228,79.82137197762106,97.74378023657246,0.8686177949498445,96.3902302815426,99.32316498936731,0.0,10
100,50,837.5,1.0801234497346295,836.0,840.0,184.9,24.977545471438496,151.0,240.0,70.7,21.092652749239484,39.0,105.0,358.0,26.076809620810597,322.0,398.0,237.4,7.3816589523554175,221.0,245.0,77.63891820261546,3.9738952998714843,74.1629279739406,86.88747291744299,92.66246758787322,3.3752898862397758,86.20916866766453,95.82368361544796,0.0,10
100,100,837.3,1.2516655570345792,836.0,839.0,183.5,65.12424023869043,121.0,352.0,187.3,33.46324683722261,136.0,235.0,306.3,33.76734122393015,259.0,358.0,261.5,17.7341478509682,240.0,288.0,86.00896978657791,5.966423524843092,74.4657628797108,93.31876766204084,75.83743767788498,3.8152282048365453,70.00177597500529,82.37476359769015,0.0,10
