run,mexican_concentration,cos_fatigue,texian_casualties,mexican_casualties,mexican_captured,cos_remaining,battle_duration,texian_side_morale,mexican_side_morale,texian_win
1,0,0,19.0,550.0,652.0,12.0,193.0,88.64339958966713,0.0,true
2,0,0,19.0,660.0,541.0,12.0,194.0,89.3001526410424,0.0,true
3,0,0,14.0,573.0,630.0,8.0,188.0,88.82271584748116,0.0,true
4,0,0,20.0,489.0,712.0,6.0,204.0,89.9600392046554,0.0,true
5,0,0,54.0,629.0,572.0,10.0,202.0,88.84405063612274,0.0,true
6,0,0,19.0,578.0,624.0,13.0,200.0,89.68620239335928,0.0,true
7,0,0,38.0,640.0,563.0,7.0,192.0,89.50680582273495,0.0,true
8,0,0,35.0,641.0,562.0,10.0,191.0,89.54197407525407,0.0,true
9,0,0,28.0,575.0,629.0,7.0,203.0,89.36188364151309,0.0,true
10,0,0,37.0,636.0,565.0,11.0,194.0,88.74597694479824,0.0,true
